"city","base_fare","included_distance","included_time","price_per_distance","price_per_minute","distance_conversion","fare_coversion","usd_base_fare","usd_per_mile","usd_per_minute","ratio","hourly_usd","usd_min_and_mile","cluster","quantile","max_miles_10","max_minutes_10"
"1","New York",2.5,0,0,2.5,0.5,1,1,2.5,2.5,0.5,5,30,3,"2","(2.76,3.28]",3,14
"2","Mumbai",19,1.5,0,12.35,0.5,1.61,0.016666667,0.316666673,0.3313916732945,0.0083333335,39.767,0.50000001,0.3397250067945,"3","[0.321,1.73]",30,240
"3","London",2.2,2,0,1.7,0.515384615,1.61,1.64,3.608,4.48868,0.8452307686,5.31059701888851,50.713846116,5.3339107686,"4","(3.28,7.99]",2.5,6
"4","Amsterdam",2.66,0,0,1.95,0.32,1.61,1.36,3.6176,4.26972,0.4352,9.8109375,26.112,4.70492,"4","(3.28,7.99]",1,14
"5","Tokyo",712,0,0,188,56,1.61,0.0096,6.8352,2.905728,0.5376,5.405,32.256,3.443328,"2","(3.28,7.99]",1,4
"6","Aberdeen",2.4,0.9,0,1.1,0.37,1.61,1.64,3.936,2.90444,0.6068,4.78648648648649,36.408,3.51124,"2","(3.28,7.99]",2.5,8
"7","Austin",2.54,0.2,0,1.3,0.67,1.61,1,2.54,2.093,0.67,3.12388059701493,40.2,2.763,"2","(2.76,3.28]",3.5,10
"8","Baltimore",1.8,0.15,0,1.36,0.44,1.61,1,1.8,2.1896,0.44,4.97636363636364,26.4,2.6296,"2","(1.73,2.76]",3.5,18
"9","Barcelona",2.05,0,0,0.98,0.38,1.61,1.36,2.788,2.145808,0.5168,4.1521052631579,31.008,2.662608,"2","(1.73,2.76]",3,12
"10","Berlin",3,0,0,1.58,0.41,1.61,1.36,4.08,3.459568,0.5576,6.20439024390244,33.456,4.017168,"2","(3.28,7.99]",1.5,10
"11","Boston",2.6,0.23,0,1.73,0.54,1.61,1,2.6,2.7853,0.54,5.15796296296296,32.4,3.3253,"2","(3.28,7.99]",2.5,12
"12","Chicago",2.25,0.18,0,1.11,0.37,1.61,1,2.25,1.7871,0.37,4.83,22.2,2.1571,"1","(1.73,2.76]",4,20
"13","Dublin",4.09,1,0,1.03,0.37,1.61,1.36,5.5624,2.255288,0.5032,4.48189189189189,30.192,2.758488,"2","(1.73,2.76]",2.5,8
"14","Edinburgh",3,0.52,0,1.2,0.357,1.61,1.64,4.92,3.16848,0.58548,5.41176470588235,35.1288,3.75396,"2","(3.28,7.99]",1.5,8
