city,base_fare,included_distance,included_time,price_per_distance,price_per_minute,distance_conversion,fare_coversion
New York,2.5,0,0,2.5,0.5,1,1
Mumbai,19,1.5,0,12.35,0.5,1.61,0.016666667
London,2.2,2,0,1.7,0.515384615,1.61,1.64
Amsterdam,2.66,0,0,1.95,0.32,1.61,1.36
Tokyo,712,0,0,188,56,1.61,0.0096
Aberdeen,2.4,0.9,0,1.1,0.37,1.61,1.64
Austin,2.54,0.2,0,1.3,0.67,1.61,1
Baltimore,1.8,0.15,0,1.36,0.44,1.61,1
Barcelona,2.05,0,0,0.98,0.38,1.61,1.36
Berlin,3,0,0,1.58,0.41,1.61,1.36
Boston,2.6,0.23,0,1.73,0.54,1.61,1
Chicago,2.25,0.18,0,1.11,0.37,1.61,1
Dublin,4.09,1,0,1.03,0.37,1.61,1.36
Edinburgh,3,0.52,0,1.2,0.357,1.61,1.64
Ibiza,3.25,0,0,0.98,0.35,1.61,1.36
Las Vegas,3.3,0,0,1.49,0.53,1.61,1
Los Angeles,2.85,0.18,0,1.67,0.5,1.61,1
Madrid,2.04,0,0,0.98,0.32,1.61,1
Malaga,1.42,0,0,0.84,0.34,1.61,1.36
Mallorca,3,0,0,0.8,0.29,1.61,1.36
Manchester,2.35,0.425,0,1,0.28,1.61,1.64
Melbourne,3.2,0,0,1.61,1.04,1.61,0.89
Montreal,3.45,0,0,1.7,0.63,1.61,0.93
New Delhi,40,0,0,15,1.67,1.61,0.016666667
Paris,2.2,0,0,1.14,0.75,1.61,1.36
Rome,2.8,0,0,1.52,0.44,1.61,1.36
San Diego,2.5,0,0,1.67,0.46,1.61,1
San Francisco,3.1,0,0,1.39,0.47,1.61,1
Seattle,2.5,0.161,0,1.55,0.52,1.61,1
Sydney,3.4,0,0,2.06,0.91,1.61,0.89
Toronto,4.25,0.143,0,1.74,0.53,1.61,0.93
Vancouver,3.2,1,0,1.85,0.5,1.61,0.93
Washington DC,3,0,0,0.93,0.26,1.61,1
Zurich,6,0,0,3.8,1.15,1.61,1.1
Beijing,13,3,0,2.3,0.3,1.61,0.17
Shanghai,14,0,0,2.4,0.5,1.61,0.17
Moscow,245,0,0,26.53,14,1.61,0.03
Bangkok,35,0,0,6,1.67,1.61,0.03
Buenos Aires,1.81,0,0,1,0.175,1.61,1
Cairo,2.5,0,0,1.25,0.28,1.61,0.14
Dhaka,250,0,0,35,4.17,1.61,0.013
Istanbul,2.8,0,0,1.73,0.33,1.61,0.46
Jakarta,6000,0,0,3550,500,1.61,0.000082
Lagos,3.32,0,0,3.06,0.156,1.61,1
Manila,50,0,0,13.6,1.75,1.61,0.022
Rio de Janeiro,4.7,0,0,1.7,0.371,1.61,0.42
Seoul,2800,0,0,1050,206,1.61,0.00094
